"Region","Year","Maternal_Mortality_Ratio","Number_of_maternal_deaths"
"Africa"," 2015"," 542","195 000"
"Africa"," 2010"," 620","205 000"
"Africa"," 2005"," 712","214 000"
"Africa"," 2000"," 840","227 000"
"Africa"," 1995"," 914","224 000"
"Africa"," 1990"," 965","215 000"
"Americas"," 2015"," 52","7 900"
"Americas"," 2010"," 62","9 500"
"Americas"," 2005"," 67","11 000"
"Americas"," 2000"," 76","12 000"
"Americas"," 1995"," 89","14 000"
"Americas"," 1990"," 102","16 000"
"South-East Asia"," 2015"," 164","61 000"
"South-East Asia"," 2010"," 206","78 000"
"South-East Asia"," 2005"," 268","106 000"
"South-East Asia"," 2000"," 352","140 000"
"South-East Asia"," 1995"," 438","173 000"
"South-East Asia"," 1990"," 525","208 000"
"Europe"," 2015"," 16","1 800"
"Europe"," 2010"," 19","2 100"
"Europe"," 2005"," 26","2 800"
"Europe"," 2000"," 33","3 400"
"Europe"," 1995"," 42","4 600"
"Europe"," 1990"," 44","5 500"
"Eastern Mediterranean"," 2015"," 166","28 000"
"Eastern Mediterranean"," 2010"," 199","32 000"
"Eastern Mediterranean"," 2005"," 250","36 000"
"Eastern Mediterranean"," 2000"," 304","42 000"
"Eastern Mediterranean"," 1995"," 340","46 000"
"Eastern Mediterranean"," 1990"," 362","49 000"
"Western Pacific"," 2015"," 41","9 800"
"Western Pacific"," 2010"," 50","12 000"
"Western Pacific"," 2005"," 63","14 000"
"Western Pacific"," 2000"," 75","17 000"
"Western Pacific"," 1995"," 89","24 000"
"Western Pacific"," 1990"," 114","38 000"
"(WHO) Global"," 2015"," 216","303 000"
"(WHO) Global"," 2010"," 246","339 000"
"(WHO) Global"," 2005"," 288","384 000"
"(WHO) Global"," 2000"," 341","442 000"
"(WHO) Global"," 1995"," 369","486 000"
"(WHO) Global"," 1990"," 385","532 000"

